stemID,species,dbh.cm,xdist,ydist,Jenkins_type
1228,THPL,8.8,354.9,172.78,cl
1229,TABR,8.2,354.59,173.32,tf
1230,ABAM,6,355.9,172.16,tf
1231,ABAM,7.2,357.24,172.73,tf
1232,TSHE,21.9,364.57,163.16,tf
1233,ABAM,6.1,359.52,171.61,tf
1235,TSHE,6.8,361.1,173.86,tf
1236,TABR,16.3,370.75,157.53,tf
1237,ABAM,5.9,368.87,162.38,tf
1238,ABAM,11.8,366.76,167.89,tf
1239,TABR,12.4,366.42,170.42,tf
1240,PSME,110.9,365.72,172.42,pm
1241,TSHE,32.7,369.29,164.15,tf
1243,ABAM,6.4,369.12,168.11,tf
1244,ABAM,12.6,369.77,169.82,tf
1245,ABAM,5.5,369.75,173.97,tf
1246,ABAM,6.6,370.87,173.83,tf
1247,ABAM,6.4,371.99,168.34,tf
1248,ABAM,6.7,372.97,163.96,tf
1249,PSME,108,373.07,171.38,pm
1250,TABR,6.3,374.94,161.65,tf
1251,TSHE,32.2,350.15,124.97,tf
1253,TSHE,98,355.71,126.11,tf
1254,TABR,10,359.21,127.99,tf
1257,TABR,6.8,350.47,129.54,tf
1258,TSHE,15.8,368.85,127.03,tf
1259,TSHE,66.8,351.06,134.02,tf
1260,TABR,6.7,360.41,129.94,tf
1261,TSHE,65.1,363.88,129.23,tf
1262,TABR,5.9,362.99,129.29,tf
1263,TSHE,6.3,365.76,128.39,tf
1264,TSHE,66.7,367.87,128.12,tf
1265,TSHE,68.1,356.79,132.97,tf
1266,PSME,71,354.57,134.83,pm
1267,TABR,15.5,356.3,137.48,tf
1268,TSHE,15.9,370.64,128.16,tf
1269,TSHE,61.1,367.28,132.02,tf
1271,TSHE,17.1,353.52,142.68,tf
1273,TABR,11.9,356.54,143.8,tf
1274,TSHE,83.6,360.77,138.99,tf
1275,TSHE,20.8,366.55,134.91,tf
1276,TSHE,69.3,366.25,135.98,tf
1278,TSHE,5.1,359.84,144.38,tf
1279,TSHE,10.5,363.86,146.21,tf
1280,TSHE,15,362.53,147.48,tf
1281,TSHE,81.8,368.53,138.69,tf
1282,TSHE,15.2,369.62,137.87,tf
1283,TABR,5.6,371.35,142.7,tf
1284,TSHE,28.1,373.1,132.07,tf
1285,TSHE,30.7,372.39,137.42,tf
1286,ABAM,7.1,371.48,145.07,tf
1288,TSHE,14.5,346.93,125.5,tf
1289,TSHE,77.8,342.24,127.02,tf
1290,PSME,67,340.19,127.28,pm
1291,TSHE,13,326.54,130.45,tf
1292,TABR,7,331.78,130.23,tf
1293,TSHE,8.5,333.66,129.98,tf
1294,TSHE,64.8,337.92,129.64,tf
1295,THPL,37.5,334.03,132.64,cl
1296,TSHE,10.7,329.75,133.94,tf
1297,TSHE,29.3,330.5,135.03,tf
1298,THPL,85.9,335.16,133.76,cl
1299,THPL,49.5,335.21,134.48,cl
1301,TSHE,11.2,333.76,137.5,tf
1303,PSME,105.6,330.72,144.69,pm
1304,TABR,14.3,327.44,147.57,tf
1306,TSHE,101.5,336.01,143.85,tf
1307,ABAM,6.5,335.98,146.18,tf
1308,TSHE,16.3,341.55,137.89,tf
1309,TSHE,19.8,344.39,132.94,tf
1311,TABR,6.1,342.33,142.26,tf
1313,TSHE,29.5,343.75,139.93,tf
1315,TSHE,12.2,344.68,138.76,tf
1316,TABR,18.6,344.9,136.76,tf
1318,TABR,14.9,347.95,132.21,tf
1319,TABR,13.4,347.81,133.15,tf
1320,TSHE,12.9,344.61,141.45,tf
1326,TSHE,8.3,312.33,125.87,tf
1327,TSHE,88,312.91,126.74,tf
1328,TSHE,75.5,314.89,130.54,tf
1329,TABR,9.7,305.38,136.57,tf
1330,TABR,12.9,301.2,140.02,tf
1331,TABR,12.7,300.83,140.67,tf
1336,TSHE,70.3,310.35,139.29,tf
1338,TSHE,29.3,303.14,147.53,tf
1339,TSHE,8.5,306.49,143.91,tf
1341,TSHE,17.4,308.44,146.94,tf
1342,ABAM,5.3,310.25,144.52,tf
1343,TSHE,56,314.86,136.16,tf
1344,TSHE,13.1,319,131.56,tf
1345,TABR,18.8,320.52,130.69,tf
1346,TSHE,25.8,321.95,128.22,tf
1347,TABR,9.6,324.79,125.32,tf
1348,TSHE,69.3,315.59,139.76,tf
1350,TABR,30.7,316.39,147.7,tf
1351,ABAM,6.7,319.59,146.41,tf
1352,TABR,11.9,319.17,138.47,tf
1355,TSHE,10.3,322.82,141.9,tf
1356,ABAM,7,322,145.02,tf
1357,TSHE,29.8,322.86,146.06,tf
1358,PSME,147.8,377.83,179.5,pm
1359,ABAM,6.5,375.38,179.74,tf
1360,THPL,9,375.6,182,cl
1361,TSHE,88.9,386.54,178.41,tf
1362,ABAM,6.4,381.44,181.66,tf
1363,ABAM,8,379.51,183.27,tf
1364,TABR,6.9,384.63,181.38,tf
1365,TSHE,70.1,390.07,179.55,tf
1366,ABAM,14.6,380.38,185.32,tf
1367,TSHE,6.6,378.69,186.62,tf
1368,TSHE,17.5,375.7,188.91,tf
1369,ABAM,8.4,382.04,185.27,tf
1370,ABAM,5.4,383.57,184.42,tf
1371,ABAM,5.9,385.67,185.21,tf
1372,ABAM,8.2,387.96,184.03,tf
1373,PSME,129.5,382.39,188.75,pm
1374,ABAM,8.1,380.89,190.45,tf
1375,ABAM,5.7,376.21,193.31,tf
1376,PSME,110.5,379.23,193.16,pm
1377,TSHE,51,395.49,179.07,tf
1378,TSHE,9.5,378.2,197.54,tf
1379,TABR,16.5,376.77,199.57,tf
1380,TABR,31.5,385.78,189.9,tf
1382,TSHE,13.9,383.9,197.81,tf
1383,ABAM,6,387.48,195.79,tf
1385,ABAM,6.4,389.08,195.33,tf
1386,TSHE,25.2,394.83,185.45,tf
1387,ABAM,7.2,390.93,197.14,tf
1388,TSHE,9.3,394.22,190.15,tf
1389,TSHE,44.1,395.28,189.22,tf
1390,PSME,92.7,394.51,197.43,pm
1391,PSME,88.2,396.24,194.02,pm
1392,TSHE,19,396.79,188.01,tf
1393,TSHE,45.6,398.61,191.97,tf
1394,TABR,7,376.77,157.76,tf
1395,TSHE,49.2,376.52,158.86,tf
1396,TABR,10.5,375.68,162.4,tf
1399,TABR,10.8,383.44,160.13,tf
1401,TSHE,13,386.42,159.93,tf
1402,TABR,6.6,381.93,162.84,tf
1403,ABAM,20.1,380.54,163.49,tf
1404,TABR,5.8,380.44,165.22,tf
